,instructor_lname,instructor_fname,Catalog_ID,program_name,program_code,Title,SECTION,CRN,SEMESTER,YEAR,Act,Cap,Rem,timecodes
87,Rosivach,Vincent J.,CL 0199A,,,Special Topics: Ancient Historians as Literature,A,38963.0,Spring,2016.0,1.0,5.0,4.0,['W 0630pm-0900pm 01/19-05/03 DMH 349']
88, Garvey,Johanna,BL 0100A,,,Special Topics: Black Lives Matter,A,39108.0,Spring,2016.0,14.0,10.0,-4.0,['MR 0200pm-0315pm 01/19-05/03 CNS 9']
89,Creane,Michael Walden,PY 0281B,,,Special Topics: Cross-Cultural Perspectives on Lifespan Development,01,78878.0,Fall,2016.0,18.0,20.0,2.0,['MR 0330pm-0445pm 09/06-12/12 BNW 256']
90,Wakin,Shirley A.,MA 0495A,,,Special Topics: History of Mathematics,01,56457.0,Summer,2016.0,8.0,13.0,5.0,['TR 0600pm-0900pm 05/24-06/30 BNW 139']
91,Schlichting,Kurt C.,SO 0390A,,,Special Topics: New York Public Library - Digital Social Science & History,A,39116.0,Spring,2016.0,4.0,15.0,11.0,['W 0200pm-0430pm 01/19-05/03 CNS 209']
92,Rosenbloom,Carrie Meredith,FT 0568E,,,Special Topics: Small Business Management,01,79085.0,Fall,2016.0,10.0,20.0,10.0,['T 0715pm-0915pm 09/06-12/13 CNS 101']
93,Andreychik,Michael Robert,PY 0281A,,,"Special Topics: Stereotyping, Prejudice, Culture",A,38905.0,Spring,2016.0,23.0,20.0,-3.0,['MR 1100am-1215pm 01/19-05/03 BNW 124']
94,Rozgonyi,Jay L.,MD 0401E,,,Special Topics: Technology for K-12 Teachers,01,56396.0,Summer,2016.0,9.0,18.0,9.0,['M 0400pm-0900pm 07/11-07/11 CNS 103']
95, Patton,Martha Jane,PO 0190D,,,Special Topics: The Arab Uprising,A,38422.0,Spring,2016.0,12.0,15.0,3.0,['M 0630pm-0900pm 01/19-05/03 CNS 5']
96,Egan,Patrick Michael,MD 0403A,,,The School Library I,OL1,77873.0,Fall,2016.0,2.0,18.0,16.0,['T 0715pm-0915pm 09/06-09/06 CNS 5']
97,White,Michael C.,ENW 0207C,,,Themes in Creative Writing: Reading and Writing the Short Story,01,78982.0,Fall,2016.0,11.0,15.0,4.0,['MW 0500pm-0615pm 09/06-12/12 DLH 107']
98,Doris,Eugene P.,MG 0303B,,,Topics in Management: Leading Sport Organizations,A,37940.0,Spring,2016.0,23.0,25.0,2.0,['T 0500pm-0730pm 01/19-05/03 BNW 334']
99, Byun,Soyong,BI 0318,,,Vertebrate Zoology,A,37377.0,Spring,2016.0,21.0,24.0,3.0,['TF 1100am-1215pm 01/19-05/03 BNW 254A']
100, Byun,Soyong,BI 0318L,,,Vertebrate Zoology Lab,A,38065.0,Spring,2016.0,9.0,12.0,3.0,['R 0830am-1120am 01/19-05/03 BNW 238A']
101,Yarrington,Kathryn J.,ID 0395,,,Water Theme Seminar,A,39070.0,Spring,2016.0,2.0,15.0,13.0,['W 0500pm-0630pm 01/19-05/03 MCA 204']
102,Fortmueller,Kate L.,FTM 0109,,,"Women, Gender, and Sexuality in Cinema",A,39053.0,Spring,2016.0,23.0,22.0,-1.0,['T 0200pm-0455pm 01/19-05/03 XVR 13']
