,term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,cap,act,rem
11052,Spring2017,32778,IT 0211,05,3.000,Intermediate Italian II,"[{'days': 'TWF', 'times': '1100am-1150am', 'dates': '01/17-05/02', 'location': 'CNS 10'}]",['TWF 1100am-1150am 01/17-05/02 CNS 10'],Sara E.  Diaz,18,18,0
11053,Spring2017,32779,IT 0255,01,3.000,The Novella,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '01/17-05/02', 'location': 'CNS 208'}]",['MR 0930am-1045am 01/17-05/02 CNS 208'],Mary Ann M.  Carolan,15,11,4
11054,Spring2017,32504,IT 0377,01,3.000,Internship,[],[],Sara E.  Diaz,0,1,-1
11055,Spring2017,32326,IT 0399,01,3.000,Capstone Seminar,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/17-05/02', 'location': 'DMH 331'}]",['MR 1100am-1215pm 01/17-05/02 DMH 331'],Joel D.  Goldfield,5,1,4
11056,Spring2017,31292,JA 0111,01,3.000,Elementary Japanese II,"[{'days': 'MWR', 'times': '0400pm-0450pm', 'dates': '01/17-05/02', 'location': 'CNS 203'}]",['MWR 0400pm-0450pm 01/17-05/02 CNS 203'],Kazuko Suda  Avery,18,8,10
11057,Spring2017,31293,JA 0211,01,3.000,Intermediate Japanese II,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '01/17-05/02', 'location': 'CNS 203'}]",['MR 0200pm-0315pm 01/17-05/02 CNS 203'],Kazuko Suda  Avery,18,0,18
11058,Spring2017,31330,LA 0211,01,3.000,Readings in Latin Prose and Poetry II: Catullus and Horace,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/17-05/02', 'location': 'CNS 2'}]",['MR 1100am-1215pm 01/17-05/02 CNS 2'],Vincent J.  Rosivach,15,14,1
11059,Spring2017,32650,LA 0211,02,3.000,Readings in Latin Prose and Poetry II: Sallust,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '01/17-05/02', 'location': 'CNS 2'}]",['MR 1230pm-0145pm 01/17-05/02 CNS 2'],Vincent J.  Rosivach,15,12,3
11060,Spring2017,31187,LAC 0300,01,4.000,Justice and the Developing World,"[{'days': 'R', 'times': '0500pm-0730pm', 'dates': '01/17-05/02', 'location': 'CNS 10'}]",['R 0500pm-0730pm 01/17-05/02 CNS 10'],William F.  Vasquez Mazariegos,15,8,7
11061,Spring2017,31214,MG 0101,01,3.000,Introduction to Management,"[{'days': 'W', 'times': '1100am-0130pm', 'dates': '01/17-05/02', 'location': 'DSB 110B'}]",['W 1100am-0130pm 01/17-05/02 DSB 110B'],J Michael   Cavanaugh,28,28,0
11062,Spring2017,31215,MG 0101,02,3.000,Introduction to Management,"[{'days': 'T', 'times': '0500pm-0730pm', 'dates': '01/17-05/02', 'location': 'DSB 107'}]",['T 0500pm-0730pm 01/17-05/02 DSB 107'],J Michael   Cavanaugh,28,15,13
11063,Spring2017,31216,MG 0101,03,3.000,Introduction to Management,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/17-05/02', 'location': 'DSB 110B'}]",['MR 1100am-1215pm 01/17-05/02 DSB 110B'],Richard F.  Cerrone,28,23,5
11064,Spring2017,31244,MG 0101,04,3.000,Introduction to Management,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '01/17-05/02', 'location': 'DSB 109'}]",['MR 0330pm-0445pm 01/17-05/02 DSB 109'],Paul P.  Daulerio,28,28,0
11065,Spring2017,31246,MG 0101,05,3.000,Introduction to Management,"[{'days': 'TF', 'times': '0330pm-0445pm', 'dates': '01/17-05/02', 'location': 'DSB 108'}]",['TF 0330pm-0445pm 01/17-05/02 DSB 108'],Paul P.  Daulerio,28,28,0
11066,Spring2017,31712,MG 0101,06,3.000,Introduction to Management,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '01/17-05/02', 'location': 'DSB 110A'}]",['MR 0930am-1045am 01/17-05/02 DSB 110A'],Richard F.  Cerrone,28,19,9
11067,Spring2017,31713,MG 0101,07,3.000,Introduction to Management,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '01/17-05/02', 'location': 'DSB 108'}]",['TF 0200pm-0315pm 01/17-05/02 DSB 108'],Paul P.  Daulerio,28,29,-1
11068,Spring2017,32122,MG 0101,08,3.000,Introduction to Management,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '01/17-05/02', 'location': 'DSB 109'}]",['MR 0200pm-0315pm 01/17-05/02 DSB 109'],Paul P.  Daulerio,28,28,0
11069,Spring2017,31138,MG 0235,01,3.000,Managing Human Resources,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '01/17-05/02', 'location': 'DSB 112'}]",['TF 1230pm-0145pm 01/17-05/02 DSB 112'],Norman A.  Solomon,25,21,4
11070,Spring2017,31429,MG 0235,02,3.000,Managing Human Resources,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/17-05/02', 'location': 'DSB 112'}]",['TF 1100am-1215pm 01/17-05/02 DSB 112'],Norman A.  Solomon,25,19,6
11071,Spring2017,31714,MG 0240,01,3.000,Leading and Managing People,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '01/17-05/02', 'location': 'DSB 115'}]",['TF 0930am-1045am 01/17-05/02 DSB 115'],Lisa A.  Mainiero,25,25,0
