,program_code,program_name,Unnamed: 0,YEAR,SEMESTER,term,CatalogYear,catalog_id,Title,credits,Prereqs,Coreqs,Fees,Attributes,Description
108,BI,Biology,742,2015.0,Summer,Summer2015,2014_2015,BI 0171,General Biology II,,,,,,
109,BI,Biology,744,2015.0,Summer,Summer2015,2014_2015,BI 0171L,General Biology II Lab,,,,,,
110,BI,Biology,644,2015.0,Spring,Spring2015,2014_2015,BI 0171P,General Biology II PLG,,,,,,
111,BI,Biology,920,2014.0,Fall,Fall2014,2014_2015,BI 0172,General Biology III (Majors),,,,,,
112,BI,Biology,921,2014.0,Fall,Fall2014,2014_2015,BI 0172L,General Biology III Lab,,,,,,
113,BI,Biology,928,2015.0,Spring,Spring2015,2014_2015,BI 0260,Ecology,,,,,,
114,BI,Biology,929,2015.0,Spring,Spring2015,2014_2015,BI 0260L,Ecology Lab,,,,,,
115,BI,Biology,840,2015.0,Spring,Spring2015,2014_2015,BI 0261,Genetics,,,,,,
116,BI,Biology,841,2015.0,Spring,Spring2015,2014_2015,BI 0261L,Genetics Lab,,,,,,
117,BI,Biology,7026,2015.0,Spring,Spring2015,2014_2015,BI 0262,Human Physiology,,,,,,
118,BI,Biology,7027,2015.0,Spring,Spring2015,2014_2015,BI 0262L,Human Physiology Lab,,,,,,
119,BI,Biology,723,2015.0,Spring,Spring2015,2014_2015,BI 0310,Community Nutrition,,,,,,
120,BI,Biology,724,2015.0,Spring,Spring2015,2014_2015,BI 0310L,Community Nutrition Lab,,,,,,
121,BI,Biology,1019,2015.0,Spring,Spring2015,2014_2015,BI 0318,Vertebrate Zoology,,,,,,
122,BI,Biology,1020,2015.0,Spring,Spring2015,2014_2015,BI 0318L,Vertebrate Zoology Lab,,,,,,
123,BI,Biology,970,2014.0,Fall,Fall2014,2014_2015,BI 0324,Biochemistry I,,,,,,
124,BI,Biology,982,2015.0,Spring,Spring2015,2014_2015,BI 0324L,Biochemistry Lab,,,,,,
125,BI,Biology,7005,2015.0,Spring,Spring2015,2014_2015,BI 0325,Biochemistry II,,,,,,
126,BI,Biology,7007,2015.0,Spring,Spring2015,2014_2015,BI 0325L,Biochemistry Lab,,,,,,
127,BI,Biology,7020,2015.0,Spring,Spring2015,2014_2015,BI 0327,Cell Biology,,,,,,
128,BI,Biology,7021,2015.0,Spring,Spring2015,2014_2015,BI 0327L,Cell Biology Lab,,,,,,
129,BI,Biology,878,2014.0,Fall,Fall2014,2014_2015,BI 0330,Nutrient Metabolism,,,,,,
130,BI,Biology,698,2014.0,Fall,Fall2014,2014_2015,BI 0352,Fundamentals of Microbiology,,,,,,
