,YEAR,SEMESTER,term,CatalogYear,Catalog_ID,program_name,program_code,Title,credits,Prereqs,Coreqs,Fees,Attributes,Description
1674,2015.0,Fall,Fall2015,2015_2016,CN 0558,,,Counseling Practicum,,,,,,
1707,2015.0,Fall,Fall2015,2015_2016,CN 0565,,,Substance Abuse and the Family,,,,,,
1706,2015.0,Fall,Fall2015,2015_2016,CN 0566,,,Research Methodology,,,,,,
1752,2016.0,Spring,Spring2016,2015_2016,CN 0585,,,Introduction to Clinical Supervision,,,,,,
1676,2015.0,Fall,Fall2015,2015_2016,CN 0590C,,,Internship: Clinical Mental Health Counseling,,,,,,
1802,2015.0,Fall,Fall2015,2015_2016,CN 0590S,,,Internship: School Counseling,,,,,,
1424,2015.0,Fall,Fall2015,2015_2016,CO 0100,,,Human Communication Theories,,,,,,
1465,2015.0,Fall,Fall2015,2015_2016,CO 0101,,,Argument and Advocacy,,,,,,
7074,2016.0,Spring,Spring2016,2015_2016,CO 0102,,,Introduction to Public Relations,,,,,,
1426,2015.0,Fall,Fall2015,2015_2016,CO 0130,,,Mass Media and Society,,,,,,
1447,2015.0,Fall,Fall2015,2015_2016,CO 0200,,,Interpersonal Communication Theories,,,,,,
1455,2016.0,Spring,Spring2016,2015_2016,CO 0201,,,Persuasion,,,,,,
1579,2015.0,Fall,Fall2015,2015_2016,CO 0220,,,Introduction to Organizational Communication,,,,,,
1492,2015.0,Fall,Fall2015,2015_2016,CO 0231,,,Media Institutions,,,,,,
1538,2015.0,Fall,Fall2015,2015_2016,CO 0236,,,"Gender, Sexuality, and Media",,,,,,
7077,2015.0,Fall,Fall2015,2015_2016,CO 0238,,,Communication and Popular Culture,,,,,,
1559,2016.0,Spring,Spring2016,2015_2016,CO 0242,,,"Alcohol, Addiction and Culture",,,,,,
1508,2016.0,Spring,Spring2016,2015_2016,CO 0245,,,"Identities, Discourse, and Social Change",,,,,,
1561,2016.0,Spring,Spring2016,2015_2016,CO 0246,,,Family Communication,,,,,,
1578,2015.0,Fall,Fall2015,2015_2016,CO 0248,,,Health Communication,,,,,,
1501,2015.0,Fall,Fall2015,2015_2016,CO 0309,,,Research Projects in Communication: Capstone,,,,,,
1524,2016.0,Spring,Spring2016,2015_2016,CO 0324,,,Crisis Communication,,,,,,
7076,2015.0,Fall,Fall2015,2015_2016,CO 0331,,,American Media / American History,,,,,,
1542,2016.0,Spring,Spring2016,2015_2016,CO 0334,,,Comparative Media Systems,,,,,,
1434,2016.0,Spring,Spring2016,2015_2016,CO 0335,,,"Globalization, Media, and Culture",,,,,,
1617,2016.0,Spring,Spring2016,2015_2016,CO 0340,,,Conflict Communication,,,,,,
