,program_code,program_name,Unnamed: 0,YEAR,SEMESTER,term,CatalogYear,catalog_id,Title,credits,Prereqs,Coreqs,Fees,Attributes,Description
107,BI,Biology,860,2015.0,Fall,Fall2015,2015_2016,BI 0170L,General Biology I Lab,,,,,,
108,BI,Biology,620,2015.0,Fall,Fall2015,2015_2016,BI 0170P,General Biology I PLG,,,,,,
109,BI,Biology,7029,2016.0,Spring,Spring2016,2015_2016,BI 0171,General Biology II,,,,,,
110,BI,Biology,868,2016.0,Spring,Spring2016,2015_2016,BI 0171L,General Biology II Lab,,,,,,
111,BI,Biology,656,2016.0,Spring,Spring2016,2015_2016,BI 0171P,General Biology II PLG,,,,,,
112,BI,Biology,924,2015.0,Fall,Fall2015,2015_2016,BI 0172,General Biology III,,,,,,
113,BI,Biology,925,2015.0,Fall,Fall2015,2015_2016,BI 0172L,General Biology III Lab,,,,,,
114,BI,Biology,719,2015.0,Fall,Fall2015,2015_2016,BI 0251,Human Nutrition,,,,,,
115,BI,Biology,932,2016.0,Spring,Spring2016,2015_2016,BI 0260,Ecology,,,,,,
116,BI,Biology,933,2016.0,Spring,Spring2016,2015_2016,BI 0260L,Ecology Lab,,,,,,
117,BI,Biology,909,2016.0,Spring,Spring2016,2015_2016,BI 0261,Genetics,,,,,,
118,BI,Biology,706,2016.0,Spring,Spring2016,2015_2016,BI 0261L,Genetics Lab,,,,,,
119,BI,Biology,7024,2015.0,Fall,Fall2015,2015_2016,BI 0262,Human Physiology,,,,,,
120,BI,Biology,7025,2015.0,Fall,Fall2015,2015_2016,BI 0262L,Human Physiology Lab,,,,,,
121,BI,Biology,7028,2016.0,Spring,Spring2016,2015_2016,BI 0315,Anatomy: Form and Function,,,,,,
122,BI,Biology,1021,2016.0,Spring,Spring2016,2015_2016,BI 0318,Vertebrate Zoology,,,,,,
123,BI,Biology,1022,2016.0,Spring,Spring2016,2015_2016,BI 0318L,Vertebrate Zoology Lab,,,,,,
124,BI,Biology,1023,2016.0,Spring,Spring2016,2015_2016,BI 0319,Zoology Field Experience,,,,,,
125,BI,Biology,1024,2016.0,Spring,Spring2016,2015_2016,BI 0319L,Zoology Field Experience Lab,,,,,,
126,BI,Biology,7033,2015.0,Fall,Fall2015,2015_2016,BI 0324,Biochemistry I,,,,,,
127,BI,Biology,7035,2015.0,Fall,Fall2015,2015_2016,BI 0324L,Biochemistry I Lab,,,,,,
128,BI,Biology,6995,2015.0,Fall,Fall2015,2015_2016,BI 0325,Biochemistry II,,,,,,
